rank,LSOA21CD,MSOA21CD,need,IPI,bottleneck,IPI_indirect_low,IPI_commute_down
30,E01015584,E02003236,0.488449322,0.358463424,msoa_in_commute_share,0.444989078,0.265757366
31,E01015545,E02003214,0.09573487,0.341414034,employment_quality,0.349086259,0.341414034
32,E01015505,E02003229,0.10249712,0.339069743,employment_quality,0.2483883,0.429751185
33,E01032705,E02006847,0.170222124,0.332303266,employment_quality,0.297778251,0.3538814
34,E01015507,E02003218,0.118562696,0.327667963,employment_quality,0.235761095,0.395599126
35,E01015491,E02003234,0.008474753,0.324471203,msoa_out_commute_share,0.309020193,0.315200597
36,E01015539,E02003231,0.060798873,0.319995738,employment_quality,0.295380681,0.355160104
37,E01015572,E02003227,0.219034744,0.318610475,employment_quality,0.284298577,0.343118973
38,E01015554,E02003220,1.371223609,0.316479301,msoa_out_commute_share,0.409984549,0.215781342
39,E01015543,E02003214,0.40590479,0.316266184,msoa_in_commute_share,0.459481059,0.167084022
