LSOA21CD,MSOA21CD,log_voa_rv_2023,rv_per_working_age,sme_density,qualification_index,firm_size_diversity,rv_per_employee,sme_qual_interaction,employment_quality,modern_sector_leverage,asset_growth_diversity,log_total_GVA_2023,is_swindon
E01015565,E02003222,13.10024008449348,502.11377433264886,108.16468946266573,16.46894626657362,0.8888888888888888,4111.560838582883,1781.358458701264,0.09159106769016045,4.705413219021034,13.116290693319202,2.791901033272154,Swindon
E01015566,E02003222,11.77440057348647,119.26855932047751,98.60050890585241,19.40203562346056,0.8888888888888888,1249.9214068019905,1913.0505862826885,0.095419847,5.54343874956016,13.150905747881449,2.5645646680934537,Swindon
E01015567,E02003225,12.6301843257052,278.6193723792161,249.1103202846975,9.667852906287077,0.9183673469387756,1174.3757045848008,2408.3619339505176,0.18452616317385,4.1646135596313565,11.265856362899436,3.612808017162641,Swindon
E01015568,E02003225,15.261384525650552,3497.1663962108732,244.75524475524475,11.013986013986013,0.9183673469387756,2034.282727141932,2695.730842583989,0.5348355348355348,4.744486282947821,-4.934926259081633,6.257569881960145,Swindon
E01015569,E02003233,14.258167376036381,1701.46116284153,252.0718232044199,-4.005524859834253,0.9290123456790124,3284.9480095864233,-1009.6799543090486,1.0359116022099448,-1.1868221806916304,12.862739495815038,3.2548605385877107,Swindon
E01015570,E02003233,12.579320577433082,309.029660106383,261.461318051576,-6.088825214899714,0.9290123456790124,2876.009270663794,-1591.9922660733496,0.1074498567335243,-1.8040963599702855,15.019353898542178,3.2548605385877107,Swindon
E01015571,E02003233,11.175125569379755,77.95934597814207,227.8401997503121,-0.7490636704119851,0.9290123456790124,1135.3550275655339,-170.66681629236862,0.032043279333333334,-0.22194479123318075,7.291315716504798,2.3332112865358066,Swindon
E01015572,E02003227,13.388121739860633,704.3292785097192,58.351568198395334,-11.597374179431073,0.8984375,6229.850965878395,-676.7249703533814,0.027133479212253814,-2.8993435448577682,5.818124639765625,2.5253285642869154,Swindon
E01015573,E02003227,13.29803006811633,370.42842579241767,33.25020781379884,-3.449709060681629,0.8984375,2228.113579038214,-114.70354316480895,0.09975062344139651,-0.8624272651704072,12.992864935978446,3.634212052771628,Swindon
E01015574,E02003228,13.153647372586132,495.5698762728146,153.4683855125844,8.96255371393494,0.912,4036.3837658963025,1375.4686485474124,0.0736648250460405,3.278983066073758,-3.5244730537440003,2.916634952195289,Swindon
