FID,LSOA21CD,LSOA21NM,LSOA21NMW,BNG_E,BNG_N,LAT,LONG,GlobalID,gva,lsoa_workers_at_workplace,ln_gva,ln_jobs,elasticity
14773,E01015557,Swindon 005C, ,417024,188485,51.59496,-1.75562,ca8fc439-644c-4372-b6e0-f7d712784f96,25.269,268,3.2295783480013363,5.5909869805108565,0.8180516550339666
14774,E01015558,Swindon 005D, ,416612,187320,51.5845,-1.76162,936cd149-ca8a-46f9-811c-e7eeb328139c,9.065999999999995,72,2.204531152518657,4.276666119016055,0.8376109390162235
14775,E01015559,Swindon 005E, ,416343,187632,51.58731,-1.76549,7dc8f114-d85d-46f5-8355-95e6f78fe897,12.688000000000002,144,2.5406566648924924,4.969813299576001,0.8475489488902315
14776,E01015560,Swindon 005F, ,415984,187144,51.58293,-1.7707,2cf21cb8-0f1e-44e9-99cc-32eff102de72,21.748999999999995,208,3.0795677794662235,5.337538079701318,0.8344797486918787
14777,E01015561,Swindon 014A, ,412028,185465,51.56793,-1.82785,7f019132-9aa0-4bc7-b7e0-03e17cef1e07,252.871,1024,5.53287947727086,6.931471805599453,0.607079583907975
14778,E01015562,Swindon 011A, ,412043,186524,51.57745,-1.8276,b2595705-e0e5-47fc-8f02-1d1aa820dc35,19.858999999999998,88,2.9886573048820275,4.477336814478207,0.5512972262193313
14779,E01015563,Swindon 011B, ,411248,186240,51.57492,-1.83908,f6e8d49f-1019-49e5-9ea9-7a5a56e31259,9.852999999999994,40,2.287775977340337,3.6888794541139363,0.5553314282068933
14780,E01015564,Swindon 014B, ,411577,185656,51.56966,-1.83435,5c59a653-35d1-426f-a6bd-8719529ec0f4,252.871,282,5.53287947727086,5.641907070938114,0.6064975197613784
14781,E01015565,Swindon 011C, ,411041,185720,51.57025,-1.84208,4abfa40d-3d52-432a-a968-90e5a3c03c6c,16.312,122,2.791901033272154,4.804021044733257,0.6166964334145972
14782,E01015566,Swindon 011D, ,410920,185299,51.56646,-1.84384,badf79ac-87a2-4e66-aad5-881d4f0b1278,12.995000000000003,97,2.5645646680934537,4.574710978503383,0.6336999376488439
